address,type,size,symbol,x-value
0x1023f83c,float,4,__real@40c90fdb,6.2831854820251465
0x1023f840,float,8,__real@3ee4f8b588e368f1,1e-05
0x1024044c,float,4,__real@3965f36d,0.0002192982501583174
0x102405ac,float,4,__real@48f42400,500000.0
0x10241b0c,float,4,__real@3d888889,0.06666667014360428
0x10242c14,float,4,__real@48c35000,400000.0
0x10242c2c,float,4,__real@43fa0000,500.0
0x10242c78,float,4,__real@453b8000,3000.0
0x10242d08,float,4,__real@457a0000,4000.0
0x10242d20,float,4,__real@449c4000,1250.0
0x10243360,float,8,__real@402c000000000000,14.0
0x102450a0,float,8,__real@4024000000000000,10.0
0x10246ca8,float,4,__real@c11cf5c3,-9.8100004196167
0x10246cb8,float,4,__real@bc23d70a,-0.009999999776482582
0x10246cbc,float,4,__real@bdcccccd,-0.10000000149011612
0x10246cc0,float,4,__real@3f028f5c,0.5099999904632568
0x10246d30,float,4,__real@401ccccd,2.450000047683716
0x10246d34,float,4,__real@43960000,300.0
0x10246d38,float,4,__real@3e124925,0.1428571492433548
0x10246d40,float,8,__real@3f910f51ac9afe1e,0.01666
0x10246d48,float,4,__real@bee66666,-0.44999998807907104
0x10246d98,float,4,__real@40300000,2.75
0x10246f10,float,4,__real@3eaaaaab,0.3333333432674408
0x10246f14,float,4,__real@7149f2ca,1.0000000150474662e+30
0x10246f20,float,4,__real@3f2aaaab,0.6666666865348816
0x10246f24,float,4,__real@40860a92,4.188790321350098
0x10246f68,float,4,__real@3b888889,0.004166666883975267
0x10246f6c,float,4,__real@3f428f5c,0.7599999904632568
0x10246f70,float,4,__real@3f11eb85,0.5699999928474426
0x10246f74,float,4,__real@3ed70a3d,0.41999998688697815
0x10246f78,float,4,__real@3e851eb8,0.25999999046325684
0x10246f7c,float,4,__real@3e8f5c29,0.2800000011920929
0x10246f80,float,4,__real@3d4ccccd,0.05000000074505806
0x10246f84,float,4,__real@3fc3d70a,1.5299999713897705
