address,size,type,symbol
0x10004ff0,0x68,library,?_AtlGetStringResourceImage@ATL@@YAPBUATLSTRINGRESOURCEIMAGE@1@PAUHINSTANCE__@@PAUHRSRC__@@I@Z
0x10005060,0xc6,library,?LoadStringA@?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAEHPAUHINSTANCE__@@I@Z
0x100051b0,0x18,library,?AtlThrowImpl@ATL@@YGXJ@Z
0x10005260,0x24,library,??1?$CAtlSafeAllocBufferManager@VCCRTAllocator@ATL@@@_ATL_SAFE_ALLOCA_IMPL@ATL@@QAE@XZ
0x10005290,0x22,library,??$AtlAdd@I@ATL@@YAJPAIII@Z
0x100052c0,0x8f,library,??0?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAE@PB_W@Z
0x10005350,0x9a,library,??4?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAEAAV01@PB_W@Z
0x100053f0,0x3b,library,??MCFileTime@ATL@@QBE_NV01@@Z
0x10005430,0x61,library,?RemoveFileSpec@?$CPathT@V?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@@ATL@@QAEHXZ
0x100054a0,0x14,library,?Format@?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAAXPBDZZ
0x100054c0,0x8e,library,?Append@?$CPathT@V?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@@ATL@@QAEHPBD@Z
0x10005570,0x5f,library,??0runtime_error@std@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@@Z
0x100055d0,0x20,library,??$AtlMultiply@I@ATL@@YAJPAIII@Z
0x100055f0,0x1b,library,?AtlThrowLastWin32@ATL@@YGXXZ
0x10005610,0xa,library,??1CComBSTR@ATL@@QAE@XZ
0x10005620,0x11,library,?Allocate@CCRTHeap@ATL@@UAEPAXI@Z
0x10005640,0xf,library,?Free@CCRTHeap@ATL@@UAEXPAX@Z
0x10005650,0x16,library,?Reallocate@CCRTHeap@ATL@@UAEPAXPAXI@Z
0x10005670,0x11,library,?GetSize@CCRTHeap@ATL@@UAEIPAX@Z
0x10005780,0x93,library,??$AtlConvAllocMemory@D@ATL@@YAXPAPADHPADH@Z
0x10005820,0x6,library,?what@bad_weak_ptr@boost@@UBEPBDXZ
0x10005830,0xd,library,?destroy@sp_counted_base@detail@boost@@UAEXXZ
0x10005840,0x31,library,?add_ref_lock@sp_counted_base@detail@boost@@QAE_NXZ
0x10005880,0x59,library,??4shared_count@detail@boost@@QAEAAV012@ABV012@@Z
0x100058e0,0x75,library,??0shared_count@detail@boost@@QAE@ABVweak_count@12@@Z
0x10005960,0x6,library,??1bad_weak_ptr@boost@@UAE@XZ
0x10005970,0x1f,library,??_Ebad_weak_ptr@boost@@UAEPAXI@Z
0x10005b20,0xf,library,??1any@boost@@QAE@XZ
