address,type,x-text
0x10231f08,string,An error caused by System::update occured.
0x10231f38,string,A command issued was not supported by this object.  Possibly a plugin 
0x10231fa8,string,This command failed because System::init or System::setDriver was not 
0x10231ff8,string,Something in FMOD hasn't been implemented when it should be! contact s
0x10232048,string,The sound created exceeds the allowable input channel count.  This can
0x102320e0,string,The specified tag could not be found or there are no tags.
0x10232120,string,"This subsound is already being used by another sound, you cannot have "
0x102321b8,string,The error occured because the sound referenced contains subsounds.  (i
0x10232250,string,Specified Instance in FMOD_REVERB_PROPERTIES couldn't be set. Most lik
0x102322d4,string,An error occured trying to initialize the recording device.
0x10232318,string,A resource that the plugin requires cannot be found. (ie the DLS file 
0x10232374,string,"A requested output, dsp unit type or codec was not available."
0x102323b8,string,The number of allowed instances of a plugin has been exceeded.
0x102323f8,string,An unspecified error has been returned from a 3rd party plugin.
0x1023243c,string,Panning only works with mono or stereo sound sources.
0x10232478,string,Attempted to create a software sound but no software channels were spe
0x102324d8,string,FMOD_HARDWARE was specified but the sound card does not have the resou
0x1023253c,string,Error initializing output device.
0x10232560,string,Soundcard does not support the minimum features needed for this sounds
0x102325c8,string,"A call to a standard soundcard driver failed, which could possibly mea"
0x10232650,string,Error creating hardware sound buffer.
0x10232678,string,"Error initializing output device, but more specifically, the output de"
0x102326f0,string,Operation could not be performed because specified sound is not ready.
0x10232738,string,Operation on a non-blocking socket could not complete immediately.
0x1023277c,string,The specified URL couldn't be resolved.
0x102327a8,string,A socket error occurred.  This is a catch-all for socket-related error
0x10232808,string,Couldn't connect to the specified host.
0x10232838,string,Tried to use a feature that requires the software engine.  Software en
0x102328f8,string,Tried to use a feature that requires hardware support.  (ie trying to 
0x10232970,string,Tried to call a command on a 2d sound when the command was meant for 3
0x102329c0,string,Tried to call a command on a 3d sound when the command was meant for 2
0x10232a10,string,Not enough memory or resources on console sound ram.
0x10232a48,string,PS2 only.  Not enough memory or resources on PlayStation 2 IOP ram.
