address,size,type,symbol,name
0x10019380,0xb1,library,??$?0V?$bind_t@W4work_result@worker_thread@RBX@@P6A?AW4123@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@ZV?$list1@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@_bi@boost@@@_bi@5@@_bi@boost@@@?$function0@W4work_result@worker_thread@RBX@@V?$allocator@Vfunction_base@boost@@@std@@@boost@@QAE@V?$bind_t@W4work_result@worker_thread@RBX@@P6A?AW4123@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@ZV?$list1@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@_bi@boost@@@_bi@5@@_bi@1@H@Z,
0x1001a3c0,0x654,library,??$?RV?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@@?$char_separator@DU?$char_traits@D@std@@@boost@@QAE_NAAV?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@AAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@3@@Z,
0x1001ae30,0xca,library,??0?$list1@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@_bi@boost@@@_bi@boost@@QAE@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@12@@Z,
0x1001af00,0x4b,library,?is_dropped@?$char_separator@DU?$char_traits@D@std@@@boost@@ABE_ND@Z,
0x1001af50,0x29,library,?increment@?$token_iterator@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@boost@@AAEXXZ,
0x1001bc30,0x99,library,??$?0Udata@ErrorUploader@@@shared_count@detail@boost@@QAE@PAUdata@ErrorUploader@@@Z,
0x1001bcd0,0xf7,library,??$assign_to@V?$bind_t@W4work_result@worker_thread@RBX@@P6A?AW4123@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@ZV?$list1@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@_bi@boost@@@_bi@5@@_bi@boost@@@?$function0@W4work_result@worker_thread@RBX@@V?$allocator@Vfunction_base@boost@@@std@@@boost@@AAEXV?$bind_t@W4work_result@worker_thread@RBX@@P6A?AW4123@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@ZV?$list1@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@_bi@boost@@@_bi@5@@_bi@1@@Z,
0x1001c810,0xa1,library,??$?0VSoundService@Soundscape@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@2@@?$shared_ptr@VSoundService@Soundscape@RBX@@@boost@@QAE@PAVSoundService@Soundscape@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@4@@Z,
0x1001c8c0,0xa1,library,??$?0VSoundChannel@Soundscape@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@2@@?$shared_ptr@VSoundChannel@Soundscape@RBX@@@boost@@QAE@PAVSoundChannel@Soundscape@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@4@@Z,
0x1001cd10,0x19,library,?dispose@?$sp_counted_impl_p@Udata@ErrorUploader@@@detail@boost@@UAEXXZ,
0x1001ce40,0xbe,library,??$?0V?$bind_t@W4work_result@worker_thread@RBX@@P6A?AW4123@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@ZV?$list1@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@_bi@boost@@@_bi@5@@_bi@boost@@@?$basic_vtable0@W4work_result@worker_thread@RBX@@V?$allocator@Vfunction_base@boost@@@std@@@function@detail@boost@@QAE@V?$bind_t@W4work_result@worker_thread@RBX@@P6A?AW4123@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@ZV?$list1@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@_bi@boost@@@_bi@5@@_bi@3@@Z,
