address,type,symbol
0x10261878,global,?_entries@?1??_GetEntries@?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@SGPBU_ATL_INTMAP_ENTRY@3@XZ@4QBU43@B
0x102629d8,global,?numStrips@MegaTextureProxy@View@RBX@@2IB
0x102c71a4,global,?nameThreads@RBX@@3_NA
0x102c8f30,global,?sLighting@RBX@@3PADA
0x102c9d6c,global,?creator@?$FactoryProduct@VSky@RBX@@VInstance@2@$1?sSky@2@3PADA@RBX@@0VCreator@12@B
0x102cbf00,global,?sModel@RBX@@3PADA
0x102cc784,global,?creator@?$FactoryProduct@VPartInstance@RBX@@VPVInstance@2@$1?sPart@2@3PADA@RBX@@0VCreator@12@B
0x102cc788,global,?creator@?$FactoryProduct@VHumanoid@RBX@@VInstance@2@$1?sHumanoid@2@3PADA@RBX@@0VCreator@12@B
0x102ccb7c,global,?sScriptContext@RBX@@3PADA
0x102cda54,global,?creator@?$FactoryProduct@VDebugSettings@RBX@@VItem@GlobalSettings@2@$1?sDebugSettings@2@3QBDB@RBX@@0VCreator@12@B
0x102cda5c,global,?sScript@RBX@@3PADA
0x102cda64,global,?sLocalScript@RBX@@3PADA
0x102ce21c,global,?creator@?$FactoryProduct@VTeam@RBX@@VInstance@2@$1?sTeam@2@3QBDB@RBX@@0VCreator@12@B
0x102ce220,global,?creator@?$FactoryProduct@VPlayer@Network@RBX@@VInstance@3@$1?sPlayer@23@3PADA@RBX@@0VCreator@12@B
0x102ce228,global,?sWorkspace@RBX@@3PADA
0x102cf2f4,global,?creator@?$FactoryProduct@VControllerService@RBX@@VInstance@2@$1?sControllerService@2@3PADA@RBX@@0VCreator@12@B
0x102cf2f8,global,?creator@?$FactoryProduct@VCamera@RBX@@VInstance@2@$1?sCamera@2@3PADA@RBX@@0VCreator@12@B
0x102cf2fc,global,?creator@?$FactoryProduct@VHopperBin@RBX@@VBackpackItem@2@$1?sHopperBin@2@3QBDB@RBX@@0VCreator@12@B
0x102cf300,global,?creator@?$FactoryProduct@VStarterPackService@RBX@@VHopper@2@$1?sStarterPackService@2@3QBDB@RBX@@0VCreator@12@B
0x102cf304,global,?creator@?$FactoryProduct@VLegacyHopperService@RBX@@VHopper@2@$1?sLegacyHopperService@2@3QBDB@RBX@@0VCreator@12@B
0x102cf308,global,?creator@?$FactoryProduct@VTool@RBX@@VBackpackItem@2@$1?sTool@2@3QBDB@RBX@@0VCreator@12@B
0x102cf30c,global,?creator@?$FactoryProduct@VFlag@RBX@@VTool@2@$1?sFlag@2@3QBDB@RBX@@0VCreator@12@B
0x102cf314,global,?assertAction@Debugable@RBX@@2W4AssertAction@12@A
0x102d0e28,global,?creator@?$FactoryProduct@VLocalBackpackItem@RBX@@VWidget@2@$1?sLocalBackpackItem@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e2c,global,?creator@?$FactoryProduct@VLocalBackpack@RBX@@VRelativePanel@2@$1?sLocalBackpack@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e30,global,?creator@?$FactoryProduct@VSnap@RBX@@VAutoJoint@2@$1?sSnap@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e34,global,?creator@?$FactoryProduct@VWeld@RBX@@VAutoJoint@2@$1?sWeld@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e38,global,?creator@?$FactoryProduct@VGlue@RBX@@VAutoJoint@2@$1?sGlue@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e3c,global,?creator@?$FactoryProduct@VRotate@RBX@@VAutoJoint@2@$1?sRotate@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e40,global,?creator@?$FactoryProduct@VRotateP@RBX@@VAutoJoint@2@$1?sRotateP@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e44,global,?creator@?$FactoryProduct@VRotateV@RBX@@VAutoJoint@2@$1?sRotateV@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e48,global,?creator@?$FactoryProduct@VMotor@RBX@@VAutoJoint@2@$1?sMotor@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e4c,global,?creator@?$FactoryProduct@VBackpack@RBX@@VHopper@2@$1?sBackpack@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e50,global,?creator@?$FactoryProduct@VTeams@RBX@@VInstance@2@$1?sTeams@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e54,global,?creator@?$FactoryProduct@VAccoutrement@RBX@@VInstance@2@$1?sAccoutrement@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e58,global,?creator@?$FactoryProduct@VHat@RBX@@VAccoutrement@2@$1?sHat@2@3QBDB@RBX@@0VCreator@12@B
0x102d0e60,global,?sSoundService@Soundscape@RBX@@3PADA
0x102d0e70,global,?sStockSound@@3PADA
0x102d0e7c,global,?sSoundChannel@Soundscape@RBX@@3PADA
0x102d2098,global,?creator@?$FactoryProduct@VGameSettings@RBX@@VItem@GlobalSettings@2@$1?sGameSettings@2@3QBDB@RBX@@0VCreator@12@B
0x102d209c,global,?creator@?$FactoryProduct@VStockSound@@VSoundChannel@Soundscape@RBX@@$1?sStockSound@@3PADA@RBX@@0VCreator@12@B
0x102d3cf8,global,?creator@?$FactoryProduct@VShirtGraphic@RBX@@VCharacterAppearance@2@$1?sShirtGraphic@2@3QBDB@RBX@@0VCreator@12@B
0x102d3cfc,global,?creator@?$FactoryProduct@VShirt@RBX@@VShirtGraphic@2@$1?sShirt@2@3QBDB@RBX@@0VCreator@12@B
0x102d3d00,global,?creator@?$FactoryProduct@VBodyColors@RBX@@VCharacterAppearance@2@$1?sBodyColors@2@3QBDB@RBX@@0VCreator@12@B
0x102d3d04,global,?creator@?$FactoryProduct@VSkin@RBX@@VCharacterAppearance@2@$1?sSkin@2@3QBDB@RBX@@0VCreator@12@B
0x102d3d08,global,?creator@?$FactoryProduct@VExplosion@RBX@@VInstance@2@$1?sExplosion@2@3PADA@RBX@@0VCreator@12@B
0x102d3d0c,global,?creator@?$FactoryProduct@VMotorFeature@RBX@@VFeature@2@$1?sMotorFeature@2@3QBDB@RBX@@0VCreator@12@B
0x102d3d10,global,?creator@?$FactoryProduct@VHole@RBX@@VFeature@2@$1?sHole@2@3QBDB@RBX@@0VCreator@12@B
0x102d3d14,global,?creator@?$FactoryProduct@VVelocityMotor@RBX@@VJointInstance@2@$1?sVelocityMotor@2@3QBDB@RBX@@0VCreator@12@B
0x102d3d18,global,?creator@?$FactoryProduct@VFlagStand@RBX@@VPartInstance@2@$1?sFlagStand@2@3PADA@RBX@@0VCreator@12@B
0x102d3d1c,global,?creator@?$FactoryProduct@VFlagStandService@RBX@@VInstance@2@$1?sFlagStandService@2@3QBDB@RBX@@0VCreator@12@B
0x102d3d20,global,?creator@?$FactoryProduct@VForceField@RBX@@VInstance@2@$1?sForceField@2@3PADA@RBX@@0VCreator@12@B
0x102d3d24,global,?creator@?$FactoryProduct@VGeometryService@RBX@@VInstance@2@$1?sGeometryService@2@3PADA@RBX@@0VCreator@12@B
0x102d3d28,global,?creator@?$FactoryProduct@VBodyGyro@RBX@@VBodyMover@2@$1?sBodyGyro@2@3PADA@RBX@@0VCreator@12@B
0x102d3d2c,global,?creator@?$FactoryProduct@VBodyForce@RBX@@VBodyMover@2@$1?sBodyForce@2@3PADA@RBX@@0VCreator@12@B
0x102d3d30,global,?creator@?$FactoryProduct@VBodyThrust@RBX@@VBodyMover@2@$1?sBodyThrust@2@3PADA@RBX@@0VCreator@12@B
0x102d3d34,global,?creator@?$FactoryProduct@VBodyPosition@RBX@@VBodyMover@2@$1?sBodyPosition@2@3PADA@RBX@@0VCreator@12@B
0x102d3d38,global,?creator@?$FactoryProduct@VBodyVelocity@RBX@@VBodyMover@2@$1?sBodyVelocity@2@3PADA@RBX@@0VCreator@12@B
0x102d3d3c,global,?creator@?$FactoryProduct@VRocket@RBX@@VBodyMover@2@$1?sRocket@2@3PADA@RBX@@0VCreator@12@B
0x102d3d40,global,?creator@?$FactoryProduct@VMessage@RBX@@VInstance@2@$1?sMessage@2@3PADA@RBX@@0VCreator@12@B
0x102d3d44,global,?creator@?$FactoryProduct@VHint@RBX@@VMessage@2@$1?sHint@2@3PADA@RBX@@0VCreator@12@B
0x102d3d48,global,?creator@?$FactoryProduct@VObjectValue@RBX@@VInstance@2@$1?sObjectValue@2@3PADA@RBX@@0VCreator@12@B
0x102d3d4c,global,?creator@?$FactoryProduct@VVisit@RBX@@VInstance@2@$1?sVisit@2@3PADA@RBX@@0VCreator@12@B
0x102d3d50,global,?creator@?$FactoryProduct@VDebrisService@RBX@@VInstance@2@$1?sDebrisService@2@3PADA@RBX@@0VCreator@12@B
0x102d3d54,global,?creator@?$FactoryProduct@VTimerService@RBX@@VInstance@2@$1?sTimerService@2@3PADA@RBX@@0VCreator@12@B
0x102d3d58,global,?creator@?$FactoryProduct@VSeat@RBX@@VPartInstance@2@$1?sSeat@2@3PADA@RBX@@0VCreator@12@B
0x102d3d5c,global,?creator@?$FactoryProduct@VSpawnLocation@RBX@@VPartInstance@2@$1?sSpawnLocation@2@3PADA@RBX@@0VCreator@12@B
0x102d3d60,global,?creator@?$FactoryProduct@VSpawnerService@RBX@@VInstance@2@$1?sSpawnerService@2@3QBDB@RBX@@0VCreator@12@B
0x102d3d90,global,?sSky@RBX@@3PADA
0x102d4560,global,?sPart@RBX@@3PADA
0x102d4568,global,?category_Part@RBX@@3PBDB
0x102d530c,global,?sHumanoid@RBX@@3PADA
0x102d5d78,global,?className@?$Bridge@V?$shared_ptr@VDescribedBase@Reflection@RBX@@@boost@@$0A@@Lua@RBX@@1PBDB
0x102d6180,global,?creator@?$FactoryProduct@VDecal@RBX@@VFaceInstance@2@$1?sDecal@2@3PADA@RBX@@0VCreator@12@B
0x102d6184,global,?creator@?$FactoryProduct@VTexture@RBX@@VDecal@2@$1?sTexture@2@3PADA@RBX@@0VCreator@12@B
0x102d6194,global,?className@?$Bridge@VBrickColor@RBX@@$00@Lua@RBX@@1PBDB
0x102d61a0,global,?className@?$Bridge@V?$shared_ptr@VSignalInstance@Reflection@RBX@@@boost@@$0A@@Lua@RBX@@1PBDB
0x102d62d0,global,?className@?$Bridge@V?$shared_ptr@VNode@ThreadRef@Lua@RBX@@@boost@@$00@Lua@RBX@@1PBDB
0x102d6368,global,?sStats@Stats@RBX@@3PADA
0x102d6370,global,?sStatsItem@Stats@RBX@@3PADA
0x102d7608,global,?sNullMouseCommand@RBX@@3PADA
0x102d7684,global,?sArrowTool@RBX@@3PADA
0x102d768c,global,?sBoxSelectCommand@RBX@@3PADA
0x102d77cc,global,?sRootInstance@RBX@@3PADA
0x102d7800,global,?sCamera@RBX@@3PADA
0x102d7d58,global,?sNullTool@RBX@@3PADA
0x102d7d64,global,?sNewNullTool@RBX@@3PADA
0x102d7ddc,global,?sControllerService@RBX@@3PADA
0x102dc1e8,global,?sExplosion@RBX@@3PADA
0x102dd7bc,global,?sFlagStand@RBX@@3PADA
0x102ddcf8,global,?sForceField@RBX@@3PADA
0x102dde80,global,?sGeometryService@RBX@@3PADA
0x102de038,global,?sBodyPosition@RBX@@3PADA
0x102de048,global,?sBodyVelocity@RBX@@3PADA
0x102de058,global,?sBodyGyro@RBX@@3PADA
0x102de064,global,?sBodyForce@RBX@@3PADA
0x102de070,global,?sBodyThrust@RBX@@3PADA
0x102de07c,global,?sRocket@RBX@@3PADA
0x102df088,global,?sMessage@RBX@@3PADA
0x102df090,global,?sHint@RBX@@3PADA
0x102df208,global,?sIntValue@RBX@@3PADA
0x102df214,global,?sBoolValue@RBX@@3PADA
0x102df220,global,?sDoubleValue@RBX@@3PADA
0x102df22c,global,?sStringValue@RBX@@3PADA
0x102df238,global,?sVector3Value@RBX@@3PADA
0x102df248,global,?sCFrameValue@RBX@@3PADA
0x102df254,global,?sColor3Value@RBX@@3PADA
0x102df260,global,?sBrickColorValue@RBX@@3PADA
0x102df270,global,?sObjectValue@RBX@@3PADA
0x102e2f9c,global,?creator@?$FactoryProduct@V?$Value@H$1?sIntValue@RBX@@3PADA@RBX@@VInstance@2@$1?sIntValue@2@3PADA@RBX@@0VCreator@12@B
0x102e2fa0,global,?creator@?$FactoryProduct@V?$Value@_N$1?sBoolValue@RBX@@3PADA@RBX@@VInstance@2@$1?sBoolValue@2@3PADA@RBX@@0VCreator@12@B
0x102e2fa4,global,?creator@?$FactoryProduct@V?$Value@N$1?sDoubleValue@RBX@@3PADA@RBX@@VInstance@2@$1?sDoubleValue@2@3PADA@RBX@@0VCreator@12@B
0x102e2fb8,global,?creator@?$FactoryProduct@V?$Value@VBrickColor@RBX@@$1?sBrickColorValue@2@3PADA@RBX@@VInstance@2@$1?sBrickColorValue@2@3PADA@RBX@@0VCreator@12@B
0x102e2fc0,global,?sVisit@RBX@@3PADA
0x102e33e8,global,?sDebrisService@RBX@@3PADA
0x102e3790,global,?sTimerService@RBX@@3PADA
0x102e3920,global,?sSeat@RBX@@3PADA
0x102e3ba4,global,?sSpawnLocation@RBX@@3PADA
