address,type,name
0x102fca44,global,desc_BottomSurfaceInput
0x102fca64,global,desc_LeftParamB
0x102fca80,global,desc_TopType
0x102fcaa0,global,desc_BottomParamA
0x102fcabc,global,desc_RightSurfaceInput
0x102fcadc,global,desc_RightParamA
0x102fcaf8,global,desc_BackParamB
0x102fcb14,global,desc_LegacyFront
0x102fcb2c,global,desc_RightType
0x102fcb4c,global,desc_BottomParamB
0x102fcb68,global,desc_LegacyTop
0x102fcb80,global,desc_FrontSurfaceInput
0x102fcba0,global,desc_LeftSurfaceInput
0x102fccf4,global,desc_LegacyConstraint
0x102fccf8,global,desc_LegacyParamB
0x102fccfc,global,desc_LegacyParamA
0x102fcd00,global,desc_LegacySurfaceInput
0x102fcd04,global,desc_LegacyType
0x102fce58,global,desc_Mouse_Button2Up
0x102fce7c,global,desc_Mouse_WheelBackward
0x102fcea0,global,desc_Mouse_Button1Down
0x102fcec4,global,desc_Mouse_ViewSizeY
0x102fcee0,global,desc_Mouse_ViewSizeX
0x102fcefc,global,desc_Mouse_Button1Up
0x102fcf20,global,desc_Mouse_Icon
0x102fcf3c,global,desc_Mouse_Button2Down
0x102fcf60,global,desc_Mouse_Y
0x102fcf7c,global,desc_Target
0x102fcf9c,global,desc_Mouse_Move
0x102fcfc0,global,desc_Mouse_Idle
0x102fcfe4,global,desc_Mouse_X
0x102fd000,global,desc_Mouse_WheelForward
0x102fd024,global,desc_Origin
0x102fd040,global,desc_Mouse_KeyDown
0x102fd064,global,desc_Hit
0x102fd094,global,toSleepingChecking
0x102fd0a8,global,toDeep
0x102fd0cc,global,toTouchingSleeping
0x102fd0dc,global,toTouching
0x102fd0ec,global,toStepping
0x102fd13c,global,once_SafeChat_singleton
0x102fd144,global,utterance
0x102fd148,global,denormFix
0x102fd320,global,desc_textureId
0x102fd33c,global,desc_meshId
0x102fd358,global,desc_scale
0x102fd374,global,desc_meshType
0x102fd394,global,desc_vertColor
0x102fe3a4,global,vertexRefCount
0x102fe490,global,backface
0x102fe4ac,global,cachedBumpImage
0x102fe4c0,global,lastFilename
0x102fe5e4,global,cache
0x102fe9d0,global,func_SetSuperSafeChat
0x102fea08,global,event_Idled
0x102fea88,global,removeCharacterFunction
0x102feab8,global,prop_teamColor
0x102fead8,global,func_SetUnder13
0x102feb10,global,loadCharacterFunction
0x102feb40,global,prop_Character
0x102feb60,global,prop_characterAppearance
0x102feb7c,global,prop_neutral
0x102febdc,global,propPlayerMaxCount
0x102febf8,global,func_players
0x102fec28,global,func_createLocalPlayer
0x102fec60,global,func_GetPlayerByID
0x102fecb8,global,propPlayerCount
0x102fecd8,global,func_GetPlayers
0x102fed08,global,funcReportAbuse
0x102fed48,global,func_playerFromCharacter
0x102fed80,global,event_PlayerAdded
0x102feda8,global,funcChat
0x102fede0,global,event_PlayerRemoving
0x102fee08,global,func_setAbuseReportUrl
0x102fee40,global,func_playerFromCharacterOld
0x102feec0,global,f_connect
0x102ff008,global,f_GetClientCount
0x102ff038,global,server_startFunction
0x102ff310,global,func_SendMarker
0x102ff368,global,func_requestCharacter
0x102ff398,global,func_closeConnection
0x102ff3c8,global,prop_RemotePlayer
0x102ff42c,global,str
0x102ff468,global,lastQueryVal
0x102ff470,global,lastTickCountVal
0x102ff478,global,ipList
0x102ff518,global,uniqueIdentifier
0x102ff618,global,sum
0x102ff880,global,state
0x1030137c,global,toneMap
0x10301384,global,depthBlur
0x103013bd,global,initRobloxFailed
0x103013d0,global,clickFunction
0x10301420,global,clickTextureFunction
0x10301470,global,mainLogManager
0x10301474,global,standardOutLog
0x10301478,global,dotVersion
0x10301878,global,root
0x10301a2c,global,creators
0x10301ab8,global,bDynArrWrapper
0x10301b08,global,showedMessage
0x10301b18,global,errorUploader
0x10301bd8,global,registerFactoryObjects
