address,size,type,symbol,name
0x10011270,0x24,library,?FreeRequest@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEXPAUAtlServerRequest@2@@Z,
0x100112a0,0x160,library,??0?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@QAE@XZ,
0x10011400,0x8d,library,?TransferRequest@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEKPAUAtlServerRequest@2@PAUIServiceProvider@@PAUIWriteStream@2@PAUIHttpRequestLookup@2@PBDG_NPAUCStencilState@2@@Z,
0x10011490,0x14b,library,?HttpExtensionProc@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@QAEKPAU_EXTENSION_CONTROL_BLOCK@@@Z,
0x100115e0,0x1f,library,?QueueRequest@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEHPAUAtlServerRequest@2@@Z,
0x10011600,0xb,library,?GetThreadWorker@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEPAVCIsapiWorker@2@XZ,
0x10011610,0x12,library,?SetThreadWorker@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEHPAVCIsapiWorker@2@@Z,
0x10011630,0x6,library,?GetExtensionDesc@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEPBDXZ,
0x10011640,0x4,library,?GetIOCompletionHandle@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEPAXXZ,
0x10011650,0x6,library,?GetDllCacheTimeout@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEKXZ,
0x10011660,0x6,library,?GetStencilCacheTimeout@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEKXZ,
0x10011670,0xb,library,?GetStencilLifespan@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAE_JXZ,
0x10011680,0x14,library,?OnThreadAttach@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEHXZ,
0x100116a0,0x6,library,?OnThreadTerminate@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEXXZ,
0x100116b0,0x297,library,?GetExtensionVersion@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@QAEHPAU_HSE_VERSION_INFO@@@Z,
0x10011950,0x199,library,?TerminateExtension@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@QAEHK@Z,
0x10011af0,0xc3,library,?RequestComplete@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEXPAUAtlServerRequest@2@KK@Z,
0x10011bc0,0x2c8,library,?LoadDispatchFile@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEKPBDPAUAtlServerRequest@2@@Z,
0x10011e90,0xf4,library,?GetCacheServerContext@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEHPAUAtlServerRequest@2@PAUIFileCache@2@PAPAUIHttpServerContext@2@@Z,
0x10011f90,0x2d4,library,?TransmitFromCache@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEHPAUAtlServerRequest@2@PAH@Z,
0x10012270,0x446,library,?DispatchStencilCall@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEHPAUAtlServerRequest@2@@Z,
0x100126c0,0x100,library,?QueryInterface@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAGJABU_GUID@@PAPAX@Z,
0x100127c0,0x165,library,?QueryService@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAGJABU_GUID@@0PAPAX@Z,
0x10012930,0x149,library,?AddService@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEJABU_GUID@@0PAUIUnknown@@PAUHINSTANCE__@@@Z,
0x10012a80,0x152,library,?RemoveService@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEJABU_GUID@@0@Z,
0x10012be0,0x34,library,?LoadRequestHandler@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEKPBD0PAUIHttpServerContext@2@PAPAUHINSTANCE__@@PAPAUIRequestHandler@2@@Z,
0x10012c20,0x52,library,??1?$CWorkerThread@VCRTThreadTraits@ATL@@@ATL@@QAE@XZ,
0x10012c80,0x3d,library,??1?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@QAE@XZ,
0x10012cc0,0x43,library,?SetSize@?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@UAGJH@Z,
0x10012d10,0x1e,library,?GetSize@?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@UAGJPAH@Z,
0x10012d30,0x10,library,?SetTimeout@?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@UAGJK@Z,
0x10012d40,0x1e,library,?GetTimeout@?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@UAGJPAK@Z,
0x10012d60,0x88,library,?QueryInterface@?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@UAGJABU_GUID@@PAPAX@Z,
0x10012df0,0x82,library,?QueryInterface@?$CDllCache@V?$CWorkerThread@VCRTThreadTraits@ATL@@@ATL@@VCDllCachePeer@2@@ATL@@UAGJABU_GUID@@PAPAX@Z,
0x10012e80,0x1f2,library,?Load@?$CDllCache@V?$CWorkerThread@VCRTThreadTraits@ATL@@@ATL@@VCDllCachePeer@2@@ATL@@UAEPAUHINSTANCE__@@PBDPAX@Z,
