address,size,symbol,name
0x10040430,0x19,?setStringValue@?$TypedPropertyDescriptor@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Reflection@RBX@@UBE_NPAVDescribedBase@23@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x10040450,0x36,?getStringValue@?$TypedPropertyDescriptor@_N@Reflection@RBX@@UBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBVDescribedBase@23@@Z,
0x10040490,0x39,?setStringValue@?$TypedPropertyDescriptor@_N@Reflection@RBX@@UBE_NPAVDescribedBase@23@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x100404d0,0x36,?getStringValue@?$TypedPropertyDescriptor@M@Reflection@RBX@@UBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBVDescribedBase@23@@Z,
0x10040510,0x39,?setStringValue@?$TypedPropertyDescriptor@M@Reflection@RBX@@UBE_NPAVDescribedBase@23@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x10040550,0x39,?getStringValue@?$TypedPropertyDescriptor@N@Reflection@RBX@@UBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBVDescribedBase@23@@Z,
0x10040590,0x42,?setStringValue@?$TypedPropertyDescriptor@N@Reflection@RBX@@UBE_NPAVDescribedBase@23@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x100405e0,0x36,?getStringValue@?$TypedPropertyDescriptor@H@Reflection@RBX@@UBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBVDescribedBase@23@@Z,
0x10040620,0x39,?setStringValue@?$TypedPropertyDescriptor@H@Reflection@RBX@@UBE_NPAVDescribedBase@23@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x10040660,0x3b,?getStringValue@?$TypedPropertyDescriptor@VVector3@G3D@@@Reflection@RBX@@UBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBVDescribedBase@23@@Z,
0x100406a0,0x50,?setStringValue@?$TypedPropertyDescriptor@VVector3@G3D@@@Reflection@RBX@@UBE_NPAVDescribedBase@23@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x100406f0,0x87,?readValue@?$TypedPropertyDescriptor@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Reflection@RBX@@EBEXPAVDescribedBase@23@PBVXmlElement@@AAVIReferenceBinder@3@@Z,
0x10040780,0x25,?writeValue@?$TypedPropertyDescriptor@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Reflection@RBX@@EBEXPBVDescribedBase@23@PAVXmlElement@@@Z,
0x100409a0,0xa2,?readValue@?$TypedPropertyDescriptor@VVector3@G3D@@@Reflection@RBX@@EBEXPAVDescribedBase@23@PBVXmlElement@@AAVIReferenceBinder@3@@Z,
0x10040a50,0x153,?writeValue@?$TypedPropertyDescriptor@VVector3@G3D@@@Reflection@RBX@@EBEXPBVDescribedBase@23@PAVXmlElement@@@Z,
0x10041070,0x5,??$convert@VVector3@G3D@@@Value@Reflection@RBX@@QAEAAVVector3@G3D@@XZ,
0x10041140,0x2ea,??$convert@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Value@Reflection@RBX@@QAEAAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,
0x10041430,0x3b,?getStringValue@?$TypedPropertyDescriptor@VColor3@G3D@@@Reflection@RBX@@UBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBVDescribedBase@23@@Z,
0x100414c0,0xe5,?readValue@?$TypedPropertyDescriptor@VColor3@G3D@@@Reflection@RBX@@EBEXPAVDescribedBase@23@PBVXmlElement@@AAVIReferenceBinder@3@@Z,
0x100415b0,0x66,?writeValue@?$TypedPropertyDescriptor@VColor3@G3D@@@Reflection@RBX@@EBEXPBVDescribedBase@23@PAVXmlElement@@@Z,
0x100417d0,0x71,?getStringValue@?$TypedPropertyDescriptor@VContentId@RBX@@@Reflection@RBX@@UBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBVDescribedBase@23@@Z,
0x10041850,0x1f5,??$convert@V?$shared_ptr@VInstance@RBX@@@boost@@@Value@Reflection@RBX@@QAEAAV?$shared_ptr@VInstance@RBX@@@boost@@XZ,
